bin,shortcode,created_at,text
2015-00,3H7-c2i3mX,1432599337,Harrr
2015-00,3H7-c2i3mX,1432599585,第二次😳😳😳
2015-00,3H7-c2i3mX,1432599596,Take care
2015-00,3H7-c2i3mX,1432600475,可生兩次𠺢咩?
2015-00,3H7-c2i3mX,1432603880,保重son
2015-00,3H7-c2i3mX,1432606684,係咪你記錯自己出過ja😰😰
2015-00,3H7-c2i3mX,1432609657,Harrrrrrr #whyyoualwayssounlucky
2015-00,3H7-c2i3mX,1432610574,😨take care
2015-00,3H7-c2i3mX,1432610845,😞我會唔會有份架
2015-00,3H7-c2i3mX,1432621076,打咗德國麻疹針未呀你？
2015-00,3H7-c2i3mX,1432625179,睇黎我同你呢個月身體都唔係咁好....
2015-00,3H7-c2i3mX,1432635338,🙈🙈咩料子呢，take care bro
2015-00,3H7-c2i3mX,1433214043,😊
2015-00,1H423Yi3oo,1428301465,#goodday2
2015-00,1H423Yi3oo,1428305073,初音呢
2015-00,1H423Yi3oo,1428494128,👍
2015-00,4VcAC4C3gC,1435207888,kp
2015-00,1dzeM2C3nb,1429036870,玩腳！
2015-00,1dzeM2C3nb,1429038068,點解嘅呢
2015-00,1k2VO6i3hb,1429273404,#passport #visa #帶齊
2015-00,1k2VO6i3hb,1429273452,Fuk uuuuuuuuuu
2015-00,1k2VO6i3hb,1429273556,執左喼未呀 未執好執啦下 @biiip
2015-00,1k2VO6i3hb,1429287612,what a hashtag ╮(´･_･`)╭
2015-00,1k2VO6i3hb,1429304361,#情人lens裏出閪c #0米撚扮cool
2015-00,1k2VO6i3hb,1429356337,重點係個兩句日文，張相即刻型左😂😂
2015-00,1k2VO6i3hb,1430045840,棒！
2015-00,1k2VO6i3hb,1430319772,😊😄
2015-00,1A0OcXC3p_,1428064975,Lol....
2015-00,1A0OcXC3p_,1428076656,咁快就一年了....... @biiip @jeffreylamh @jasstsse @sonmok @deadbpoon
2015-00,1A0OcXC3p_,1428076730,唔係我買架 口臭佬 @pui_kwok
2015-00,1A0OcXC3p_,1428076769,#靚女總是口不對心 ，又話唔買呢部又le 又路，最後都係呢部。
2015-00,1A0OcXC3p_,1428076835,@pui_kwok 唔係我買架 我要買部更貴 :3
2015-00,1A0OcXC3p_,1428078583,@biiip 亲！你仲有好撚柒多野要買呵！ #無窮無盡之慾望美少女
2015-00,1A0OcXC3p_,1428136198,你個comment @biiip .... Highlights Jor in blue....好明顯令人focus 係biip 度啦 @pui_kwok 吓話
2015-00,1A0OcXC3p_,1428136417,我既解釋就係... @biiip 係全宇宙最靚既生物，無可能唔係主角。 @deadbpoon @sonmok
2015-00,wzP0biC3lm,1422132599,:) @RseriesJ_Y
2015-00,wzP0biC3lm,1425099693,:) @Pooooky9
2015-00,1DsZT7C3qb,1428161031,要入手啦
2015-00,1k0M6OC3t5,1429283424,正
2015-00,3oK8zAi3gW,1433681039,靚女過馬路
2015-00,3oK8zAi3gW,1433683613,#markIII
2015-00,3oK8zAi3gW,1433700168,Like! @jeffreylamh
2015-00,3oK8zAi3gW,1433706437,靚女企係馬路 @merry.christmas.mr.lawrence
2015-00,3oK8zAi3gW,1434079325,😴😴
2015-00,3oK8zAi3gW,1434079331,😊
2015-00,3oK8zAi3gW,1434845361,👣
2015-00,2MLsw6i3iX,1430593745,用泥膠吻返落去😀
2015-00,2MLsw6i3iX,1430599328,係時候要換電話😂😂
2015-00,2MLsw6i3iX,1430615209,#buyiphone6
2015-00,2MLsw6i3iX,1430615223,#buyiphone6
2015-00,2MLsw6i3iX,1430619510,#buyiphone6plus
2015-00,2MLsw6i3iX,1430662959,Poor
2015-00,2MLsw6i3iX,1431098373,nice pic👣 @allen._.x
2015-00,2MLsw6i3iX,1432136189,#moksonhei
2015-00,zwOFrhEcjs,1425363989,Looks delicious! 👍
2015-00,z1Nqe-Eclh,1425527354,Yum
2015-00,LXr1mEgLOQ,1434402739,@dreamz143_ @bellanina18
2015-00,CQ2aI,1433380274,Gorgeous picture !
2015-00,CJU-3,1430778256,check it @watches_cars_cigars
2015-00,Bw609,1428225650,👍👍👍
2015-00,Bw609,1434309937,y u m
