bin,shortcode,created_at,text
2012-01,T5m7JnC3sc,1356955739,Miss pongpong haha
2012-01,T24RFCi3sG,1356864996,多謝賞面😁😁
2012-01,T24RFCi3sG,1356865038,你打麻雀識贏錢架咩😏😏😏
2012-01,T24RFCi3sG,1356883452,比比咁搵日放d黎洗下
2012-01,TnuyRmi3ko,1356357750,Miss u all
2012-01,TvnjNxC3uM,1356622545,👍👍👍👍👍👍👍👍
2012-01,TQ74Rqi3sY,1355592985,我今日都有去呀！:P
2012-01,TjHtXNC3q0,1356206514,Pongpong haha
2012-01,TjHtXNC3q0,1356249283,4P
2012-01,Se9S_Gi3uH,1353914439,You
2012-01,Se9S_Gi3uH,1353914525,Silent Hill
2012-01,TF2OQCC3ms,1355220488,Taking picture while riding. Wahh so dangerous
2012-01,TFw-jLC3lL,1355233762,踩個快車？
2012-01,TK4eCei3qm,1355387766,幾好聽wo
2012-01,TK4eCei3qm,1355394330,😨
2012-01,TK4eCei3qm,1355397979,我學過如來神掌又話你知咩
2012-01,TK4eCei3qm,1355398262,-.-
2012-01,TBa1eeC3oF,1355070792,嚇死以為你睇bigbang lol haha
2012-01,SP1dYxi3jX,1353432189,"@chowtammycat No!! You look fine ,ignore son son"
2012-01,RnMd3tC3lE,1352048197,Woww我都想睇。
2012-01,RbGBoxi3sC,1351651847,＂古＂滑
2012-01,RbGBoxi3sC,1351669880,Looks like Rooney Mara
2012-01,SCRF7vi3tq,1352951684,Strongly against this brand
2012-01,SCRF7vi3tq,1352960502,But designer can't make themselves rich.
2012-01,SCRF7vi3tq,1352975813,"It's designers working for money, boss making money😛"
2012-01,RUc03li3qL,1351415668,唔好講 快啲打爛佢
2012-01,RUc03li3qL,1351418770,哈哈哈。你姐想你好訓d
2012-01,RUc03li3qL,1351421218,可以點唱嗎？👲
2012-01,RUc03li3qL,1351423495,你家姐改名叫莫札ed ?
2012-01,Q2i3DRi3kS,1350410954,Where are u!!!!!!! What happennnnnnn... 你食海鮮？
2012-01,Q2i3DRi3kS,1350411212,U ok ?
2012-01,Q2i3DRi3kS,1350411641,Are u ok?
2012-01,Q2i3DRi3kS,1350413742,whatsup man @sonmok
2012-01,Q2i3DRi3kS,1350425533,🙏
2012-01,Q2i3DRi3kS,1350429102,Jo mud r
2012-01,Q2i3DRi3kS,1350435148,what happen? take care a
2012-01,Q2i3DRi3kS,1350441676,Wtsup?
2012-01,Q2i3DRi3kS,1350445264,Wt tha F !? dude /
2012-01,Q2i3DRi3kS,1350447351,Take care
2012-01,Q2i3DRi3kS,1350447823,哇！無事嘛？
2012-01,Q2i3DRi3kS,1350451566,What happen! Take care!!!!
2012-01,Q2i3DRi3kS,1350467706,take more rest la ..dim drink ar kam! @sonmok
2012-01,Q2i3DRi3kS,1350486875,Take care sonsonsuksuk!!
2012-01,Qeb3x0i3i8,1349616149,😘
2012-01,QfRrv5C3nQ,1349629445,#nickdreamer @twiggzz
2012-01,QfRrv5C3nQ,1349630047,成個龍心咁既紋身係個頭上面
2012-01,QfRrv5C3nQ,1349631469,@chanbrotha 👍😂#nickdreamer
2012-01,QDM-aIi3rh,1348719335,Yeah!
2012-01,QDM-aIi3rh,1348749757,"@sonmok what happen to George ,why did u force him to do that 😂"
2012-01,PYdAxoC3ng,1347257254,索
2012-01,P0xtP9C3la,1348205023,等到出iphone6先買到
2012-01,O69o6Ai3rR,1346291981,兩條低能仔
2012-01,PGjNnQi3pV,1346654954,I hv this tee too from threadless
2012-01,PGjNnQi3pV,1346657233,Love this tee.
2012-01,PGjNnQi3pV,1346658242,#開學反洗腦
2012-01,OYGhnSC3lf,1345093604,why no me
2012-01,OYGhnSC3lf,1345097116,You re short and small @gnatybot
2012-01,OYGhnSC3lf,1345102698,@gnatybot can't see you at all
2012-01,OgxtARC3nO,1345407484,Wooow我今日都係深水埗。
2012-01,OYGPEPC3lV,1345093679,又俾我噏中~~~~~
2012-01,N9XUerC3gy,1344224498,What kind of this film?
2012-01,NdhriTC3oX,1343130580,So cute
2012-01,NWTP99i3jf,1343146134,I love it!! :)
2012-01,NVpoMaC3h2,1342863985,👀
2012-01,NVpoMaC3h2,1343359701,Oh my fucking god... U bought it already??
2012-01,M8cI31i3ov,1342062586,Where is it????
2012-01,M8lCyNi3s9,1342023302,係邊到...好吸引☺
2012-01,M8lCyNi3s9,1342026061,壹碗麵但係食飯😰😰😰
2012-01,Tbbck3gjdW,1355951477,@tylerkunde he's so handsome!
2012-01,Rd5btHAjWG,1351844547,Oh my<3
2012-01,QqdDGtAjX1,1350004409,@tylerkunde that's such a good picture!
2012-01,Q3OdKYgjfF,1350434585,So cute! 💚
2012-01,Q3OdKYgjfF,1351844564,The cutest!
2012-01,QqWT2rAjQl,1351844578,Your pooch is perfect <3
2012-01,Qdv-TYAjVj,1349580440,Miss you all!!!
2012-01,O7Yx64Aja6,1346346501,Nice hair yo
2012-01,O7Yx64Aja6,1346365842,Or jerry :)
2012-01,OsVbwNgjbK,1345773582,@tylerkunde oh whatever. Wille knows he's me #1
2012-01,OsVbwNgjbK,1345773587,=]
2012-01,OIWIK_gjV6,1345240723,Happy belated jakers!
2012-01,N7c1LGgjbo,1344243125,😍😍😍😍
2012-01,N2hQU-AjYe,1344139205,Ours are almost exactly the same age
2012-01,N2hQU-AjYe,1344169589,Harvey's right around 25lbs as well.
2012-01,NAAXb9gjcb,1344398144,Lmao my mom calls my dog Mr. August when he strikes a pose.
2012-01,ILuI4,1350445210,So handsome! 🐾
